"ProtocolID","DeviceName","TagName","DataType","DataCount","Retentive","Address","ArrayStart","ArrayEnd"
2511,"DEV001","MOLE_1_LIGHT","Discrete",1,0,"DISC_RY3",0,0
2511,"DEV001","MOLE_2_LIGHT","Discrete",1,0,"DISC_RY4",0,0
2511,"DEV001","MOLE_3_LIGHT","Discrete",1,0,"DISC_RY5",0,0
2511,"DEV001","GRN_BL","Discrete",1,0,"DISCY4",0,0
2511,"DEV001","HMI_Start","Discrete",1,0,"DISCC9",0,0
2511,"DEV001","MOLE_1_MOVE_SEED","Signed_int_32",1,0,"SI32_RD0",0,0
2511,"DEV001","MOLE_2_SEED","Signed_int_32",1,0,"SI32_RD1",0,0
2511,"DEV001","MOLE_2_MOVE_EQU","Signed_int_32",1,0,"SI32_RD2",0,0
2511,"DEV001","MOLE_3_MOVE_EQU","Signed_int_32",1,0,"SI32_RD4",0,0
2511,"DEV001","MOLE_3_SEED","Signed_int_32",1,0,"SI32_RD5",0,0
